ID	Number	Source	Microhabitat	Genotype	Treatment	C6-HSL	Soil	Duration
RemovePrimer_Final.EC_72	EC72	RZ_BCC436_mock_Field soil_18-week-old	RZ	BCC436	mock	0 然	Field soil	18-week-old
RemovePrimer_Final.EC_73	EC73	RZ_BCC436_C6-HSL_Field soil_18-week-old	RZ	BCC436	C6-HSL	2 然+2 然	Field soil	18-week-old
RemovePrimer_Final.EC_74	EC74	RZ_BCC436_C6-HSL_Field soil_18-week-old	RZ	BCC436	C6-HSL	2 然+2 然	Field soil	18-week-old
RemovePrimer_Final.EC_75	EC75	RZ_BCC436_C6-HSL_Field soil_18-week-old	RZ	BCC436	C6-HSL	2 然+2 然	Field soil	18-week-old
RemovePrimer_Final.EC_76	EC76	RZ_BCC436_C6-HSL_Field soil_18-week-old	RZ	BCC436	C6-HSL	2 然+2 然	Field soil	18-week-old
RemovePrimer_Final.EC_77	EC77	Bulk_none_none_Field soil_18-week-old	Bulk	none	none	0 然	Field soil	18-week-old
RemovePrimer_Final.EC_78	EC78	Bulk_none_none_Field soil_18-week-old	Bulk	none	none	0 然	Field soil	18-week-old
RemovePrimer_Final.EC_79	EC79	Bulk_none_none_Field soil_18-week-old	Bulk	none	none	0 然	Field soil	18-week-old
RemovePrimer_Final.EC_80	EC80	Bulk_none_none_Field soil_18-week-old	Bulk	none	none	0 然	Field soil	18-week-old
RemovePrimer_Final.EC_81	EC81	Bulk_none_none_Substrate_Zero-day	Bulk	none	none	0 然	Substrate	Zero-day
RemovePrimer_Final.EC_82	EC82	Bulk_none_none_Substrate_Zero-day	Bulk	none	none	0 然	Substrate	Zero-day
RemovePrimer_Final.EC_83	EC83	Bulk_none_none_Substrate_Zero-day	Bulk	none	none	0 然	Substrate	Zero-day
RemovePrimer_Final.EC_84	EC84	Bulk_none_none_Substrate_Zero-day	Bulk	none	none	0 然	Substrate	Zero-day
RemovePrimer_Final.EC_85	EC85	Bulk_none_none_Field soil_Zero-day	Bulk	none	none	0 然	Field soil	Zero-day
RemovePrimer_Final.EC_86	EC86	Bulk_none_none_Field soil_Zero-day	Bulk	none	none	0 然	Field soil	Zero-day
RemovePrimer_Final.EC_87	EC87	Bulk_none_none_Field soil_Zero-day	Bulk	none	none	0 然	Field soil	Zero-day
RemovePrimer_Final.EC_88	EC88	Bulk_none_none_Field soil_Zero-day	Bulk	none	none	0 然	Field soil	Zero-day
